Time,GHI1,T1,GHI_sc,T_sc,GHI_be,T_be,GHI_om,T_om,GHI_np,T_np,GHI_pg,T_pg,GHI_2,T_2,,,,
2/1/2023 1:00,0.611488801,25.1407728,0,27,0,26.2484375,0,26.2,0,26.64,0,27.11,0.612516031,24.84504142,,,,
2/1/2023 2:00,0.675053226,25.0439245,0,27,0,26.3421875,0,26.2,0,26.52,0,27.06,0.676184721,24.76675664,,,,
2/1/2023 3:00,0.761731986,25.11345266,0,27,0,25.99575195,0,26.3,0,26.44,0,26.9,0.763005662,24.79107474,,,,
2/1/2023 4:00,0.848410747,24.77540875,0,27,0,25.82143555,0,26.3,0,26.39,0,26.81,0.849826603,24.52980638,,,,
2/1/2023 5:00,0.935089508,24.61476577,0,27,0,25.64418945,0,26.3,0,26.36,0,26.77,0.936647544,24.42008739,,,,
2/1/2023 6:00,22.35947407,24.98123569,23,27,15.671875,25.70668945,0,26.3,14.27,26.36,22.03,27.02,33.35353198,24.88569717,,,,
2/1/2023 7:00,117.0445584,26.67416636,173,27,126.265625,26.60268555,25,26.3,99.4,26.67,153.77,26.97,199.5302317,26.86825902,,,,
2/1/2023 8:00,286.9582455,29.22579011,424,27,270.921875,27.49331055,201,26.4,308.35,26.96,354.75,27.01,430.9767809,29.68502258,,,,
2/1/2023 9:00,499.4230901,31.25139044,683,27,567.6875,28.23793945,440,26.6,582.65,27.17,448.12,27.25,669.4269669,31.82010269,,,,
2/1/2023 10:00,649.730234,32.25758987,845,27,822.65625,29.2171875,651,26.7,754.5,27.38,693.23,27.45,786.1179583,32.81276335,,,,
2/1/2023 11:00,827.0302506,33.36216271,948,28,836.140625,29.7640625,838,26.9,815.58,27.53,737,27.7,918.1853765,33.87759837,,,,
2/1/2023 12:00,873.1565458,34.6594098,1003,27,976.25,30.12856445,940,26.7,790.05,27.55,693.15,27.51,911.8302677,35.00662264,,,,
2/1/2023 13:00,834.1447824,33.56639722,874,27,566,30.053125,918,26.7,788.38,27.52,790.69,27.34,809.6541959,33.80870356,,,,
2/1/2023 14:00,645.8594342,33.08245881,827,27,709.953125,29.803125,925,26.4,583.25,27.48,592.89,27.24,607.4912707,33.21408775,,,,
2/1/2023 15:00,580.9311173,33.20790546,510,27,325.296875,29.23549805,571,25.7,390.08,27.37,463.74,27.31,526.2499758,33.08490612,,,,
2/1/2023 16:00,140.0416464,30.35537256,91,27,448.234375,29.00893555,554,26,175.27,27.13,240.38,27.24,138.785287,30.35382173,,,,
2/1/2023 17:00,99.03048951,28.21496323,59,27,149.046875,29.06362305,340,26.1,83.43,26.84,80.64,27.22,101.983395,28.15584167,,,,
2/1/2023 18:00,14.78635536,27.36596731,12,27,22.578125,28.5453125,152,25.7,11.65,26.63,18.1,27.57,15.57258915,27.30575455,,,,
2/1/2023 19:00,0.243051198,26.10610879,0,26,0,28.01674805,15,24.9,0,26.56,0,26.69,0.24494049,26.01457869,,,,
2/1/2023 20:00,0.554178412,25.15862588,0,26,0,27.6703125,0,25.8,0,26.51,0,26.21,0.557485889,25.07903794,,,,
2/1/2023 21:00,0.827166203,25.02307167,0,26,0,27.4203125,0,25.6,0,26.44,0,26.13,0.839299789,24.82908943,,,,
2/1/2023 22:00,0.060585073,24.29786832,0,26,0,27.11831055,0,25.8,0,26.37,0,26.18,0.190762037,23.92722535,,,,
2/1/2023 23:00,0.180026286,24.49006443,0,26,0,26.86293945,0,25.6,0,26.29,0,26.26,0.527846642,24.21095528,,,,
2/2/2023 0:00,0.2994675,24.99955237,0,26,0,26.56606445,0,25.4,0,26.2,0,26.26,0.684417327,24.61706345,,,,
2/2/2023 1:00,0.418908713,24.79202368,0,26,0,26.459375,0,25.4,0,26.14,0,26.26,0.122562572,24.42160629,,,,
2/2/2023 2:00,0.538349927,24.84967553,0,26,0,26.28481445,0,25.6,0,26.08,0,26.26,0.304453708,24.48474376,,,,
2/2/2023 3:00,0.657791141,24.7537998,0,26,0,26.17543945,0,26,0,25.98,0,26.3,0.486344845,24.34868665,,,,
2/2/2023 4:00,0.777232354,24.84226753,0,26,0,26.13125,0,25.9,0,25.89,0,26.27,0.668235981,24.46775117,,,,
2/2/2023 5:00,0.896673568,24.3183621,0,26,0,25.6078125,0,25.9,0,25.82,0,26.46,0.850127117,23.96638774,,,,
2/2/2023 6:00,5.515985936,24.2936537,9,27,23.9375,25.7640625,0,25.9,11.27,25.8,18.85,26.68,6.306853771,23.95106237,,,,
2/2/2023 7:00,46.19061836,24.28492403,89,27,126.21875,26.84487305,10,26.1,95.43,25.92,211.31,26.78,50.46293241,23.84044581,,,,
2/2/2023 8:00,111.5933051,25.45624042,136,27,131.953125,27.32143555,56,26.1,237.38,26.02,355.81,27.05,122.187578,24.92999951,,,,
2/2/2023 9:00,143.680569,26.8144833,196,27,515.515625,27.68325195,230,25.8,334.48,26.07,529.48,27.37,147.8898606,26.29981463,,,,
2/2/2023 10:00,191.7441128,28.55571564,216,28,13.71875,27.59487305,218,25.9,420.85,26.25,655,27.67,194.3198211,28.11026202,,,,
2/2/2023 11:00,205.3223778,29.57153603,218,28,658.703125,28.4828125,422,26.2,453.52,26.54,778.39,27.74,210.69368,29.61204905,,,,
2/2/2023 12:00,419.7615243,31.03318614,350,28,495.984375,28.86293945,345,25.7,406.7,26.91,696.08,27.71,426.1426313,31.07239478,,,,
2/2/2023 13:00,389.8173086,30.74681192,445,27,93.046875,28.21450195,275,25.6,348.5,27.26,741.8,27.51,388.5250973,30.58246641,,,,
2/2/2023 14:00,231.4643896,30.70008514,184,27,360.203125,28.30825195,252,25.7,182.3,27.49,279.43,27.36,233.934568,30.2598362,,,,
2/2/2023 15:00,108.4710934,29.11791012,69,27,197.015625,28.21987305,228,25.6,124.43,27.52,150.16,27.32,108.2441821,28.94643172,,,,
2/2/2023 16:00,83.29350608,27.81513451,59,27,187.59375,28.12075195,155,25.7,66.55,27.33,84.8,27.21,82.98282342,27.71315498,,,,
2/2/2023 17:00,40.8730345,26.98783683,51,27,41.984375,27.47231445,122,25.7,35.58,27.01,39.61,27.09,41.23892522,26.89972942,,,,
2/2/2023 18:00,7.850214329,26.03880242,10,26,9.03125,26.93325195,46,25.8,9.82,26.6,5.95,26.79,8.01189381,25.93164335,,,,
2/2/2023 19:00,0.070142404,25.74596562,0,26,0,26.5921875,6,25.7,0,26.33,0,26.77,0.069653873,25.62511459,,,,
2/2/2023 20:00,0.154896766,26.01454048,0,27,0,26.4828125,0,26.1,0,26.2,0,26.88,0.154688508,25.9452902,,,,
2/2/2023 21:00,0.239651128,26.14300066,0,27,0,26.396875,0,26.2,0,26.14,0,26.93,0.239723142,26.10276084,,,,
2/2/2023 22:00,0.324405491,26.09854442,0,27,0,26.32143555,0,26.1,0,26.09,0,27.07,0.324757777,26.00388443,,,,
2/2/2023 23:00,0.409159853,25.72433041,0,27,0,26.0375,0,25.8,0,26.06,0,27.19,0.409792411,25.66140947,,,,
2/3/2023 0:00,0.493914215,25.62468175,0,27,0,25.55825195,0,25.6,0,26.02,0,27.24,0.494827046,25.51424278,,,,
2/3/2023 1:00,0.578668577,25.67367318,0,27,0,25.6625,0,25.4,0,25.97,0,27.21,0.579861681,25.6028321,,,,
2/3/2023 2:00,0.66342294,24.96353095,0,27,0,25.69643555,0,25.4,0,25.93,0,27.15,0.664896315,24.73188333,,,,
2/3/2023 3:00,0.748177302,24.49805485,0,27,0,25.58950195,0,25.5,0,25.93,0,27.11,0.74993095,24.10964179,,,,
2/3/2023 4:00,0.832931664,24.24862556,0,27,0,25.27700195,0,25.6,0,25.97,0,27.1,0.834965585,23.881744,,,,
2/3/2023 5:00,0.917686026,24.26269501,0,26,0,25.21450195,0,25.7,0,26.01,0,27.1,0.920000219,23.85057895,,,,
2/3/2023 6:00,6.234548378,24.30223477,11,26,19.6875,25.47768555,0,25.9,10.7,26.12,9.25,26.31,6.470425375,23.91638446,,,,
2/3/2023 7:00,56.90327359,24.68463472,88,26,122.921875,26.646875,6,26.1,84.7,26.52,68.35,26.41,57.82196122,24.31286049,,,,
2/3/2023 8:00,183.3513803,26.92444609,212,27,284.25,27.69643555,61,25.7,193.88,26.84,189.24,26.67,195.4804436,26.57790142,,,,
2/3/2023 9:00,282.9733705,28.77545986,284,27,543.3125,28.4671875,142,25.9,276.02,27.1,181.18,26.97,296.711358,28.58463264,,,,
2/3/2023 10:00,280.1941929,30.50277699,225,27,859.03125,29.64956055,325,25.6,404.65,27.33,371.52,27.18,295.8481363,30.46363645,,,,
2/3/2023 11:00,341.4614736,29.96226178,314,27,751.46875,30.35,498,25.5,530.5,27.56,357.42,27.29,355.0147679,29.98157732,,,,
2/3/2023 12:00,492.8733915,32.0311987,452,27,446.734375,29.69887695,424,25.5,613.47,27.74,452.35,27.4,511.706155,31.96548827,,,,
2/3/2023 13:00,545.3397679,32.91399685,612,27,708.34375,30.21450195,467,25.5,505.73,27.88,315.28,27.41,545.8563767,33.00120724,,,,
2/3/2023 14:00,460.616278,33.45678399,441,27,727,30.86831055,549,25.7,365.33,27.85,581.1,27.32,457.4941897,33.0066863,,,,
2/3/2023 15:00,206.76979,28.97481166,288,27,609.5625,31.14956055,557,25.9,341.73,27.58,561.13,27.11,207.374785,28.52155262,,,,
2/3/2023 16:00,124.86515,28.49710745,119,27,125.109375,30.19643555,385,25.8,180.15,27.13,346.73,26.99,127.8549173,28.17906644,,,,
2/3/2023 17:00,43.79198972,27.65745373,55,27,116.65625,29.209375,160,25.7,93.32,26.67,151.93,26.89,44.9893071,27.48599165,,,,
2/3/2023 18:00,8.843874057,27.09875619,7,27,13.59375,28.28237305,59,25.8,12.5,26.32,13.9,26.96,11.38520892,27.00338244,,,,
2/3/2023 19:00,0.063284627,26.54667378,0,26,0,27.57924805,9,25.8,0,26.13,0,26.48,0.064289454,26.4819071,,,,
2/3/2023 20:00,0.150209292,26.5890746,0,26,0,26.32143555,0,25.9,0,26.07,0,26.52,0.151266609,26.49267769,,,,
2/3/2023 21:00,0.237133956,26.41596105,0,26,0,26.29262695,0,25.8,0,26.09,0,26.5,0.238243764,26.33641554,,,,
2/3/2023 22:00,0.32405862,26.28494943,0,26,0,26.12075195,0,25.9,0,26.1,0,26.45,0.325220919,26.14935518,,,,
2/3/2023 23:00,0.410983285,26.30590717,0,26,0,26.69643555,0,25.9,0,26.1,0,26.47,0.412198074,26.15199374,,,,
2/4/2023 0:00,0.497907949,26.12366909,0,26,0,26.55581055,0,25.9,0,26.09,0,26.56,0.499175229,26.00953906,,,,
2/4/2023 1:00,0.584832614,26.24221969,0,27,0,26.38393555,0,26,0,26.09,0,26.65,0.586152384,26.09559688,,,,
2/4/2023 2:00,0.671757278,25.95844788,0,27,0,26.24575195,0,25.9,0,26.13,0,26.74,0.673129539,25.84936614,,,,
2/4/2023 3:00,0.758681942,25.78415798,0,27,0,26.16518555,0,25.9,0,26.19,0,26.78,0.760106694,25.61855565,,,,
2/4/2023 4:00,0.845606607,25.7230583,0,27,0,26.2484375,0,26.1,0,26.26,0,26.77,0.847083849,25.6029461,,,,
2/4/2023 5:00,0.932531271,25.70503803,0,27,0,26.0765625,0,26,0,26.35,0,26.81,0.934061004,25.53151525,,,,
2/4/2023 6:00,13.00761334,25.77159522,16,27,18.765625,26.30581055,0,26.1,9.32,26.48,17.3,27.02,13.27278541,25.67036026,,,,
2/4/2023 7:00,78.10542518,26.39857872,108,27,145.671875,26.96987305,20,26.3,75.03,26.87,179.9,27.01,81.23422599,26.35542527,,,,
2/4/2023 8:00,123.329076,28.07160728,152,27,325.109375,27.96987305,190,26.1,196.65,27.18,344.98,27.14,130.1085192,28.06959777,,,,
2/4/2023 9:00,181.1435573,29.51403921,152,27,471.265625,28.64418945,135,25.2,285.02,27.36,527.3,27.25,189.7591384,29.46305691,,,,
2/4/2023 10:00,159.9217611,29.37424498,127,27,674.875,29.21450195,211,25.1,276.6,27.52,659.76,27.43,161.5827001,29.1464645,,,,
2/4/2023 11:00,254.2580955,30.36008304,238,28,946.171875,29.7875,540,25.2,334.17,27.64,830.68,27.69,260.4041083,29.80006436,,,,
2/4/2023 12:00,138.6419601,26.25600435,65,28,807.265625,29.865625,756,25.6,268.75,27.74,888.96,27.73,137.2707557,26.03160181,,,,
2/4/2023 13:00,237.821987,27.10838362,135,27,235.34375,28.771875,875,25.7,236.8,27.74,749.95,27.8,234.8974768,27.04977548,,,,
2/4/2023 14:00,350.1112463,28.49055236,232,27,371.0625,28.25893555,943,25.6,200.57,27.61,323.84,27.55,357.0733715,28.56593723,,,,
2/4/2023 15:00,258.4249424,27.66473868,144,27,329.265625,28.57143555,584,25.1,105.9,27.44,203.86,27.51,261.6762975,27.70258536,,,,
2/4/2023 16:00,118.6945297,26.5457031,142,27,458.046875,29.00625,212,25.1,49.78,27.21,166.81,27.46,119.0912492,26.46344285,,,,
2/4/2023 17:00,65.24302779,26.20574019,104,27,151.953125,28.40200195,130,25.3,28.98,26.94,50.36,27.41,63.84579148,26.14358971,,,,
2/4/2023 18:00,13.35095748,25.61840574,7,26,26.28125,27.83950195,78,25.5,9.73,26.64,8.95,26.48,12.69789719,25.55185412,,,,
2/4/2023 19:00,0.096661206,25.00215236,0,26,0,27.09731445,17,25.5,0,26.44,0,26.65,0.097127982,24.90763405,,,,
2/4/2023 20:00,0.221335157,25.25151438,0,26,0,26.8421875,0,25.8,0,26.33,0,26.62,0.221446757,25.15079939,,,,
2/4/2023 21:00,0.346009107,25.2845066,0,26,0,26.62856445,0,26.1,0,26.27,0,26.66,0.345765533,25.19254099,,,,
2/4/2023 22:00,0.470683058,25.0580664,0,27,0,26.31606445,0,26.2,0,26.24,0,26.97,0.470084308,24.95497396,,,,
2/4/2023 23:00,0.595357009,25.32431233,0,27,0,26.20668945,0,25.7,0,26.23,0,27.23,0.594403084,25.20327312,,,,
2/5/2023 0:00,0.72003096,25.35006003,0,27,0,26.12612305,0,25.1,0,26.19,0,27.29,0.718721859,25.28878797,,,,
2/5/2023 1:00,0.844704911,25.28177036,0,27,0,26.11049805,0,23.7,0,26.16,0,27.32,0.843040634,25.18599737,,,,
2/5/2023 2:00,0.819807685,24.77258193,0,27,0,26.04018555,0,23.7,0,26.14,0,27.15,0.760302995,24.6633392,,,,
2/5/2023 3:00,0.358240097,22.56664074,0,27,0,25.79018555,0,24,0,26.13,0,27.24,0.192213354,22.4928052,,,,
2/5/2023 4:00,0.344101925,22.65565707,0,27,0,25.66762695,0,24.1,0,26.16,0,27.3,0.475681255,22.57658938,,,,
2/5/2023 5:00,0.692204318,23.26133095,0,26,0,25.69106445,0,23.9,0,26.2,0,27.19,0.759149156,23.15166693,,,,
2/5/2023 6:00,2.496515554,23.46782856,8,26,2.875,25.49331055,0,24.3,7.35,26.29,11.1,25.69,2.538557299,23.3501345,,,,
2/5/2023 7:00,15.05205099,22.77906276,54,26,60.625,25.83168945,17,24.7,43.4,26.63,59.62,25.93,15.73929933,22.65255418,,,,
2/5/2023 8:00,62.20840223,23.64494328,99,26,189.4375,26.71450195,101,24.8,124.05,26.88,107.89,25.87,64.75885959,23.3695816,,,,
2/5/2023 9:00,130.3501781,24.09392126,164,26,469.734375,27.65981445,249,24.4,204.8,27.04,109.56,25.92,135.2681015,23.58747654,,,,
2/5/2023 10:00,235.4344772,25.09731114,337,26,789.203125,28.89174805,266,24.9,337.45,27.23,170.65,26.19,247.4514872,24.58429771,,,,
2/5/2023 11:00,303.1138185,25.50313752,342,26,715.96875,28.37856445,239,24.9,376.7,27.35,244.42,26.26,316.8438651,25.03166877,,,,
2/5/2023 12:00,255.0440674,25.71958807,213,26,726.984375,28.57387695,428,24.6,389.5,27.46,330.62,26.34,269.5309389,25.13316147,,,,
2/5/2023 13:00,322.6841213,26.21477992,367,26,266.125,27.90981445,298,24.9,489.75,27.43,251.45,26.27,336.8786839,25.60566843,,,,
2/5/2023 14:00,413.1813621,26.88466352,404,26,413.109375,27.82143555,297,24.4,478,27.35,126.45,25.99,410.443155,26.22870462,,,,
2/5/2023 15:00,514.2391044,26.9318462,337,26,467.15625,28.1390625,75,24.4,361.08,27.31,119.45,25.98,485.0884481,26.22280829,,,,
2/5/2023 16:00,184.4560686,26.22287235,189,27,350.578125,28.709375,52,24.2,230.6,27.25,99.66,26.54,186.8137176,25.67656931,,,,
2/5/2023 17:00,73.85486381,24.76104397,97,27,84.515625,27.959375,39,24.8,99.03,27.07,48.8,26.9,75.2126654,24.42818084,,,,
2/5/2023 18:00,16.13009341,23.5259118,10,27,16.828125,27.07387695,21,25,14.27,26.79,7.5,26.73,15.96515852,23.18769286,,,,
2/5/2023 19:00,0.110875464,23.67963126,0,27,0,26.46987305,11,24.4,0,26.63,0,26.86,0.365459448,23.21383572,,,,
2/5/2023 20:00,0.263899933,23.89387357,0,27,0,26.27700195,0,24.3,0,26.56,0,26.77,0.814307513,23.37977585,,,,
2/5/2023 21:00,0.416924402,24.44722896,0,26,0,26.19375,0,24.5,0,26.51,0,26.64,0.1926687,23.93840961,,,,
2/5/2023 22:00,0.569948871,23.72200406,0,26,0,26.08168945,0,24.5,0,26.47,0,26.55,0.257345341,23.3606953,,,,
2/5/2023 23:00,0.72297334,23.1662258,0,26,0,25.89956055,0,24.5,0,26.38,0,26.19,0.524667945,23.08730488,,,,
2/6/2023 0:00,0.875997809,22.46210185,0,26,0,25.70424805,0,25,0,26.21,0,25.89,0.79199055,22.31279877,,,,
2/6/2023 1:00,0.557794139,21.78957365,0,26,0,25.45668945,0,24.5,0,26.03,0,25.68,0.698744494,21.28711555,,,,
2/6/2023 2:00,0.155668958,22.66913797,0,26,0,25.2015625,0,24.7,0,25.84,0,25.75,0.215521175,22.10252785,,,,
2/6/2023 3:00,0.382134707,23.15097724,0,26,0,25.23793945,0,24.1,0,25.7,0,25.94,0.267740942,22.72649783,,,,
2/6/2023 4:00,0.608600457,22.85929754,0,26,0,25.3890625,0,23.5,0,25.63,0,26.11,0.537043369,22.56102118,,,,
2/6/2023 5:00,0.835066206,22.46829478,0,26,0,25.59731445,0,23.8,0,25.59,0,26.24,0.806345795,22.40549405,,,,
2/6/2023 6:00,8.300147049,22.94201715,15,26,3.078125,25.65200195,0,23.9,8.5,25.62,5.2,26.18,8.489322709,22.79306659,,,,
2/6/2023 7:00,23.06233281,22.84348978,67,26,75.546875,25.82143555,7,24.2,68.07,26.03,76.74,26.34,23.65445073,22.74955103,,,,
2/6/2023 8:00,33.97364642,22.73653572,32,26,55.421875,25.83706055,71,24.6,137.2,26.31,78.87,26.15,35.51872633,22.66456165,,,,
2/6/2023 9:00,74.17230543,23.02272887,62,26,144.609375,26.29018555,113,24.6,230.43,26.53,269.8,25.98,75.18057438,22.91476368,,,,
2/6/2023 10:00,154.7755057,23.86032072,142,26,342.1875,26.96450195,246,24.8,268.6,26.78,285.78,26.01,159.0490887,23.50862017,,,,
2/6/2023 11:00,278.3135369,25.1230828,272,26,651.28125,27.1859375,447,25,471.3,27.01,371.21,26.02,282.6108952,24.50434133,,,,
2/6/2023 12:00,341.1992625,26.73554831,322,26,235.890625,26.8109375,384,25.4,541.15,27.17,264.57,26.19,354.7750816,26.09356057,,,,
2/6/2023 13:00,384.5414782,27.97019068,388,26,607.703125,27.9125,419,25.4,417.83,27.25,187.35,26.3,389.2237848,27.50020607,,,,
2/6/2023 14:00,330.3178432,28.86553979,313,26,436.25,28.44375,470,25.6,493,27.19,336.43,26.44,334.6486274,28.86649411,,,,
2/6/2023 15:00,252.1137441,28.63151723,220,27,361.40625,28.54799805,444,25.8,369.77,27.09,258.02,26.7,251.5193525,28.70605117,,,,
2/6/2023 16:00,271.5617764,28.89777427,270,27,207.25,28.36049805,229,25.3,276.15,26.92,187.93,26.91,256.6157851,28.93334969,,,,
2/6/2023 17:00,85.50007295,27.97286011,92,27,114.609375,28.07387695,65,25.2,109.4,26.64,64.96,26.8,85.47768496,27.9821782,,,,
2/6/2023 18:00,9.59482296,26.35742497,9,27,12.6875,27.33950195,48,25.3,15.2,26.26,11.85,26.9,9.701495804,26.29156392,,,,
2/6/2023 19:00,4.88E-05,24.88901641,0,27,0,26.94643555,6,25.1,0,26.06,0,26.85,0.342560345,24.73702554,,,,
2/6/2023 20:00,4.88E-05,24.52925034,0,27,0,26.7796875,0,25.2,0,26,0,26.83,0.760496893,24.33541593,,,,
2/6/2023 21:00,4.88E-05,24.62043111,0,27,0,26.5921875,0,25,0,26.03,0,26.81,0.127142779,24.28173327,,,,
2/6/2023 22:00,4.88E-05,24.63267576,0,27,0,26.41518555,0,25,0,26.11,0,26.78,4.88E-05,24.1532933,,,,
2/6/2023 23:00,0.345324777,25.08589148,0,26,0,25.87075195,0,24.9,0,26.18,0,26.77,0.393819426,24.85565791,,,,
2/7/2023 0:00,0.444997457,25.02625968,0,26,0,25.5921875,0,24.8,0,26.23,0,26.64,0.376720981,24.84564085,,,,
2/7/2023 1:00,0.540873115,24.85267831,0,26,0,25.48793945,0,24.8,0,26.18,0,26.39,0.484943754,24.66496413,,,,
2/7/2023 2:00,0.636748773,24.8056246,0,26,0,25.428125,0,24.7,0,26.1,0,26.22,0.593166528,24.66140277,,,,
2/7/2023 3:00,0.73262443,24.74024202,0,26,0,25.32143555,0,25,0,26.03,0,26.01,0.701389301,24.60377887,,,,
2/7/2023 4:00,0.828500088,24.88516425,0,26,0,25.33168945,0,25.1,0,25.99,0,26.07,0.809612075,24.74899074,,,,
2/7/2023 5:00,0.924375746,25.23028155,0,26,0,25.24575195,0,25.5,0,25.94,0,26.16,0.917834848,25.11696186,,,,
2/7/2023 6:00,14.07495857,25.35289527,27,26,10.828125,25.2796875,0,25.4,14.98,26,7.05,26.48,21.01379229,25.27690689,,,,
2/7/2023 7:00,93.87040389,26.53342742,217,27,126.40625,26.05825195,22,25.6,120.55,26.43,101.25,26.91,165.062393,26.54815346,,,,
2/7/2023 8:00,242.7511971,29.3239237,305,27,207.9375,26.8890625,170,25.7,296.83,26.83,301.68,27.19,298.8207888,29.53123234,,,,
2/7/2023 9:00,386.2253483,30.27638749,449,27,234.453125,27.2171875,297,26,420.27,27.05,504.98,27.42,438.9984916,30.40706295,,,,
2/7/2023 10:00,426.1254437,31.39964858,677,27,374.21875,27.71206055,488,26.5,509.73,27.16,693.91,27.58,474.1760294,31.51603409,,,,
2/7/2023 11:00,555.5835976,31.95253507,776,27,704.828125,29.08706055,680,26.8,640.17,27.18,816.31,27.66,594.5026869,32.06724281,,,,
2/7/2023 12:00,615.0730056,32.52619545,756,28,729.328125,28.87856445,788,26.6,636.15,27.2,927.04,27.79,638.1505413,32.69582574,,,,
2/7/2023 13:00,552.011989,32.31522763,642,28,10,27.1234375,625,25.4,561.38,27.19,885,27.93,547.2080042,32.45356248,,,,
2/7/2023 14:00,682.7909081,32.63762773,805,28,767.640625,28.34487305,424,25.8,452.98,27.18,646.7,27.89,635.0468173,32.7296856,,,,
2/7/2023 15:00,580.0261091,32.00580941,469,27,360.46875,28.7640625,415,25.7,331.55,27.11,340.87,27.7,529.4025425,32.04021087,,,,
2/7/2023 16:00,387.0009029,30.03568874,300,27,368.171875,28.91762695,243,25.7,188.62,26.99,242.33,27.03,342.9544734,29.96292983,,,,
2/7/2023 17:00,128.9654575,27.89622375,61,27,160.1875,29.02456055,342,26.1,63.83,26.85,121.52,26.72,122.4035613,27.8721723,,,,
2/7/2023 18:00,11.31473839,26.64445961,2,26,29.421875,27.97231445,172,25.6,10.5,26.66,13.5,26.63,11.37848588,26.44696395,,,,
2/7/2023 19:00,0.072939752,25.88688539,0,27,0,26.9515625,7,25.7,0,26.53,0,26.74,0.071447506,25.52417836,,,,
2/7/2023 20:00,0.158414535,25.28417804,0,27,0,26.71206055,0,26.4,0,26.45,0,26.7,0.157125699,25.04484191,,,,
2/7/2023 21:00,0.243889319,25.34974991,0,27,0,26.3265625,0,25.7,0,26.41,0,26.67,0.242803892,25.22788488,,,,
2/7/2023 22:00,0.329364103,24.68075954,0,26,0,26.07143555,0,25.5,0,26.42,0,26.66,0.328482085,24.57706394,,,,
2/7/2023 23:00,0.414838887,24.85663072,0,26,0,25.709375,0,25.7,0,26.4,0,26.8,0.414160278,24.74356012,,,,
2/8/2023 0:00,0.50031367,25.12415929,0,26,0,25.62612305,0,26,0,26.39,0,26.86,0.499838472,25.03700926,,,,
2/8/2023 1:00,0.585788454,25.21164316,0,26,0,25.365625,0,26.1,0,26.3,0,26.67,0.585516665,25.10540177,,,,
2/8/2023 2:00,0.671263238,25.32390618,0,26,0,24.90981445,0,25.9,0,26.17,0,26.52,0.671194858,25.24871301,,,,
2/8/2023 3:00,0.756738021,25.38308503,0,26,0,25.1390625,0,25.7,0,26.07,0,26.59,0.756873051,25.2806055,,,,
2/8/2023 4:00,0.842212805,25.19207454,0,26,0,25.11293945,0,25.5,0,26,0,26.71,0.842551244,25.0676915,,,,
2/8/2023 5:00,0.927687589,25.09361502,0,26,0,25.240625,0,25.6,0,25.94,0,26.7,0.928229437,24.92108261,,,,
2/8/2023 6:00,6.649459694,24.96233586,12,27,18.828125,25.37856445,0,25.7,12.32,25.99,12.7,26.78,6.905836098,24.80084156,,,,
2/8/2023 7:00,59.52489862,25.47907578,105,26,136.3125,26.5375,23,25.5,117.95,26.36,79.33,26.7,61.61660845,25.4170247,,,,
2/8/2023 8:00,201.6150433,27.41260985,317,26,365.796875,27.75625,103,26.2,273.52,26.65,206.99,26.76,224.0713929,27.32641689,,,,
2/8/2023 9:00,441.2491694,31.29332233,663,27,592.125,28.646875,253,26.3,565.62,26.85,465.25,26.85,565.0690214,30.91353633,,,,
2/8/2023 10:00,691.2727692,33.43289449,857,27,839.3125,29.6625,533,26.4,680.12,27.06,580.61,27.08,837.9511567,33.48299929,,,,
2/8/2023 11:00,772.3199945,33.50261705,935,27,961.8125,29.44375,694,26.6,747.55,27.23,565.39,27.24,845.4063263,33.39340565,,,,
2/8/2023 12:00,731.1307775,33.8190715,1002,27,1024.8125,30.14418945,893,27,789.4,27.35,782.09,27.37,756.4668,33.1373503,,,,
2/8/2023 13:00,711.898156,34.04527428,876,27,127.609375,29.31606445,858,27.2,722.2,27.39,754.54,27.43,689.0677704,33.06264356,,,,
2/8/2023 14:00,709.835779,34.43890429,825,27,558.796875,29.396875,971,27.6,580.17,27.3,640.53,27.37,657.2442257,33.39250605,,,,
2/8/2023 15:00,432.1879106,31.79839441,525,27,531.609375,29.6234375,788,26.9,420.5,27.17,372.91,27,396.6123325,31.28251647,,,,
2/8/2023 16:00,329.779124,30.6328601,323,27,341.96875,29.5765625,597,26.9,243.57,26.99,308.17,26.7,295.2801562,30.19979639,,,,
2/8/2023 17:00,188.952341,30.50124821,128,27,160.234375,29.10512695,405,26.5,106.15,26.85,100.92,26.81,159.139576,29.94353349,,,,
2/8/2023 18:00,23.05569425,28.01130037,10,27,26.953125,28.40737305,104,26,17.08,26.63,13.45,27.41,21.74692462,27.76110456,,,,
2/8/2023 19:00,0.064914427,26.55340525,0,27,0,27.78237305,11,25.8,0,26.44,0,27.34,0.074154713,26.43682588,,,,
2/8/2023 20:00,0.152582099,26.97243451,0,27,0,27.475,0,26.7,0,26.25,0,27.05,0.174498924,26.85251326,,,,
2/8/2023 21:00,0.240249771,27.06258542,0,26,0,27.25893555,0,26.6,0,26.16,0,26.12,0.274843135,26.97140592,,,,
2/8/2023 22:00,0.327917443,26.52118569,0,26,0,27.11293945,0,25.9,0,26.23,0,25.84,0.375187347,26.41031116,,,,
2/8/2023 23:00,0.415585115,26.00629866,0,26,0,26.63637695,0,25.9,0,26.35,0,26.01,0.475531558,25.92221999,,,,
2/9/2023 0:00,0.503252787,25.1677182,0,26,0,26.56875,0,25.5,0,26.44,0,26.02,0.575875769,25.09169291,,,,
